"Port","Commodity","Region","Year","Mode","State","trade_type","Tons_2022","Value_2022"
"Alexandria","29 Organic Chemicals","North America",2022,4,"VA","Export",1.08024691358025e-05,0.004162
"Alexandria","30 Pharmaceutical Products","North America",2022,4,"VA","Export",1.04717813051146e-05,0.013145
"Alexandria","71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","North America",2022,4,"VA","Export",1.10229276895944e-07,0.092682
"Alexandria","84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","North America",2022,4,"VA","Export",0.000522486772486773,0.591664
"Alexandria","84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","South/Central America",2022,3,"VA","Export",0.000268849206349206,0.028872
"Alexandria","85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts","North America",2022,3,"VA","Export",0.000161155202821869,0.046034
"Alexandria","85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts","North America",2022,4,"VA","Export",0.000161155202821869,0.046034
"Alexandria","85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts","South/Central America",2022,3,"VA","Export",0.000142636684303351,0.013417
"Alexandria","87 Vehicles, Except Railway Or Tramway, And Parts Etc","South/Central America",2022,3,"VA","Export",0.000214175485008818,0.016
"Alexandria","88 Aircraft, Spacecraft, And Parts Thereof","North America",2022,4,"VA","Export",5.73192239858907e-06,0.008801
"Amarillo","34 Soap Etc; Waxes, Polish Etc; Candles; Dental Preps","North America",2022,4,"TX","Export",2.64550264550265e-06,0.00331
"Amarillo","73 Articles Of Iron Or Steel","North America",2022,4,"TX","Export",4.96031746031746e-06,0.035769
"Amarillo","85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts","North America",2022,4,"TX","Export",3.84700176366843e-05,0.010886
"Amarillo","86 Railway Or Tramway Stock Etc; Traffic Signal Equip","North America",2022,4,"TX","Export",1.81878306878307e-05,0.016796
"Amarillo","90 Optic, Photo Etc, Medic Or Surgical Instrments Etc","North America",2022,4,"TX","Export",1.65343915343915e-06,0.010129
"Amarillo","90 Optic, Photo Etc, Medic Or Surgical Instrments Etc","South/Central America",2022,4,"TX","Export",8.45458553791887e-05,0.114732
"Atlanta","01 Live Animals","Africa",2022,4,"GA","Export",0.00119499559082892,2.931946
"Atlanta","01 Live Animals","Asia",2022,4,"GA","Export",0.0347453703703704,69.326279
"Atlanta","01 Live Animals","Europe",2022,4,"GA","Export",0.00355235890652557,2.050379
"Atlanta","01 Live Animals","North America",2022,4,"GA","Export",0.00153714726631393,3.050487
"Atlanta","01 Live Animals","South/Central America",2022,4,"GA","Export",0.000153108465608466,0.215218
"Atlanta","02 Meat And Edible Meat Offal","Europe",2022,4,"GA","Export",0.0012498897707231,0.071593
"Atlanta","03 Fish, Crustaceans & Aquatic Invertebrates","Asia",2022,4,"GA","Export",0.00168298059964727,0.028275
"Atlanta","03 Fish, Crustaceans & Aquatic Invertebrates","Europe",2022,4,"GA","Export",0.00065950176366843,0.030175
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Asia",2022,4,"GA","Export",0.00940343915343915,1.566756
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Australia and Oceania",2022,4,"GA","Export",0.000278439153439153,0.403224
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Europe",2022,4,"GA","Export",0.0247719356261023,12.690776
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","South/Central America",2022,4,"GA","Export",0.00346593915343915,0.419404
"Atlanta","05 Products Of Animal Origin, Nesoi","Africa",2022,4,"GA","Export",1.88492063492063e-05,0.090492
"Atlanta","05 Products Of Animal Origin, Nesoi","Asia",2022,4,"GA","Export",0.000720789241622575,0.637293
"Atlanta","05 Products Of Animal Origin, Nesoi","Europe",2022,4,"GA","Export",0.00353450176366843,3.584859
"Atlanta","05 Products Of Animal Origin, Nesoi","South/Central America",2022,4,"GA","Export",0.00175606261022928,0.194478
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Africa",2022,4,"GA","Export",0.000169091710758377,0.035027
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Asia",2022,4,"GA","Export",0.00386992945326279,0.592012
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Europe",2022,4,"GA","Export",0.000486000881834215,0.130357
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","North America",2022,4,"GA","Export",8.99470899470899e-05,0.016884
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","South/Central America",2022,4,"GA","Export",1.62037037037037e-05,0.002722
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","Africa",2022,4,"GA","Export",0.000391203703703704,0.027057
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","Asia",2022,4,"GA","Export",0.00085218253968254,0.016565
