"Port","Commodity","Region","Mode","State","trade_type","Tons_2019","Value_2019","Tons_2021","Value_2021","Tons_2022","Value_2022"
"Alexandria","07 Edible Vegetables & Certain Roots & Tubers","South/Central America",4,"VA","Import",6.80114638447972e-05,0.005714,NA,NA,NA,NA
"Alexandria","42 Leather Art; Saddlery Etc; Handbags Etc; Gut Art","Asia",4,"VA","Import",5.70987654320988e-05,0.009215,NA,NA,NA,NA
"Alexandria","61 Apparel Articles And Accessories, Knit Or Crochet","Asia",4,"VA","Import",0.000210648148148148,0.019728,0.000181437389770723,0.006601,NA,NA
"Alexandria","84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","Africa",3,"VA","Export",0.000680114638447972,0.277934,NA,NA,NA,NA
"Alexandria","84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","Asia",4,"VA","Import",0.000115299823633157,0.025191,NA,NA,NA,NA
"Alexandria","84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","North America",4,"VA","Export",1.69753086419753e-05,0.053902,2.20458553791887e-06,0.003282,0.000522486772486773,0.591664
"Alexandria","85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts","North America",4,"VA","Export",2.40299823633157e-05,0.131845,NA,NA,0.000161155202821869,0.046034
"Alexandria","90 Optic, Photo Etc, Medic Or Surgical Instrments Etc","North America",4,"VA","Export",6.50352733686067e-06,0.117368,NA,NA,NA,NA
"Alexandria","95 Toys, Games & Sport Equipment; Parts & Accessories","Asia",4,"VA","Import",9.29232804232804e-05,0.011925,NA,NA,NA,NA
"Amarillo","71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","North America",4,"TX","Export",1.31172839506173e-05,0.906029,NA,NA,NA,NA
"Amarillo","74 Copper And Articles Thereof","Asia",4,"TX","Import",2.28174603174603e-05,0.008239,NA,NA,NA,NA
"Amarillo","84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","Asia",4,"TX","Export",1.168430335097e-05,0.057666,NA,NA,NA,NA
"Amarillo","84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","Asia",4,"TX","Import",0.000203042328042328,0.097,0.000432429453262787,0.110259,0,0.002809
"Amarillo","84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","North America",4,"TX","Export",2.46913580246914e-05,0.028958,2.27072310405644e-05,0.025123,NA,NA
"Amarillo","85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts","Asia",4,"TX","Import",0.000475418871252205,0.292791,3.3289241622575e-05,0.05728,0,0.161957
"Amarillo","85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts","North America",4,"TX","Import",2.51322751322751e-05,0.076,NA,NA,NA,NA
"Amarillo","88 Aircraft, Spacecraft, And Parts Thereof","Europe",4,"TX","Export",1.10229276895944e-07,0.0253,NA,NA,NA,NA
"Amarillo","90 Optic, Photo Etc, Medic Or Surgical Instrments Etc","North America",4,"TX","Export",1.15740740740741e-05,0.006293,3.10846560846561e-05,0.136343,1.65343915343915e-06,0.010129
"Amarillo","98 Special Classification Provisions, Nesoi","Europe",4,"TX","Import",2.75573192239859e-05,0.025256,NA,NA,0,0.003042
"Atlanta","01 Live Animals","Africa",4,"GA","Export",0.00152325837742504,2.769323,0.00174768518518519,4.22557,0.00119499559082892,2.931946
"Atlanta","01 Live Animals","Africa",4,"GA","Import",0.000148699294532628,0.156956,0.000479056437389771,0.278226,0,0.296494
"Atlanta","01 Live Animals","Asia",4,"GA","Export",0.0370920414462081,69.587589,0.0227321428571429,45.282104,0.0347453703703704,69.326279
"Atlanta","01 Live Animals","Asia",4,"GA","Import",0.000139109347442681,0.139351,0.000119047619047619,0.190406,0,0.532484
"Atlanta","01 Live Animals","Europe",4,"GA","Export",0.00723390652557319,4.700571,0.00288238536155203,1.576818,0.00355235890652557,2.050379
"Atlanta","01 Live Animals","Europe",4,"GA","Import",0.026031746031746,6.22967,0.0218774250440917,8.704085,0,8.090598
"Atlanta","01 Live Animals","North America",4,"GA","Export",0.000951609347442681,2.563024,0.00108906525573192,2.78687,0.00153714726631393,3.050487
"Atlanta","01 Live Animals","North America",4,"GA","Import",3.41710758377425e-05,0.045316,NA,NA,NA,NA
"Atlanta","01 Live Animals","South/Central America",4,"GA","Export",8.0136684303351e-05,0.056603,0.00158311287477954,0.092479,0.000153108465608466,0.215218
"Atlanta","01 Live Animals","South/Central America",4,"GA","Import",0.000760030864197531,0.960382,0.000448853615520282,0.585866,0,0.578388
"Atlanta","02 Meat And Edible Meat Offal","Asia",4,"GA","Export",0.00655114638447972,0.25521,0.00031602733686067,0.011378,NA,NA
"Atlanta","02 Meat And Edible Meat Offal","Europe",4,"GA","Export",0.000249559082892416,0.025443,NA,NA,0.0012498897707231,0.071593
"Atlanta","03 Fish, Crustaceans & Aquatic Invertebrates","Africa",4,"GA","Import",0.00224437830687831,0.198513,0.00593298059964727,0.584216,0,0.471881
"Atlanta","03 Fish, Crustaceans & Aquatic Invertebrates","Asia",4,"GA","Export",0.0149263668430335,2.074285,0.00173500881834215,0.045315,0.00168298059964727,0.028275
"Atlanta","03 Fish, Crustaceans & Aquatic Invertebrates","Asia",4,"GA","Import",0.0421398809523809,4.664069,0.0392286155202822,5.636089,0,5.722877
