"origin","destination","dms_mode","trade_type","Grouped_sctg2","Tons_2022","Value_2022"
"1","3005",3,"Import","Agriculture and Fish",0.0369437830687831,0
"1","3005",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0.0524519400352734,0
"1","3005",3,"Import","Energy Products",1.58730158730159e-05,0
"1","3005",3,"Import","Food, Alcohol and Tobacco",0.00497431657848324,0
"1","3005",3,"Import","Machinery, Electric, and Precision Instruments",0.0419641754850088,0
"1","3005",3,"Import","Mixed Freight",0.0161783509700176,0
"1","3005",3,"Import","Nonmetallic Mineral and Base Metal Products",0.00524283509700177,0
"1","3005",3,"Import","Raw and Finished Wood Products",0.0048694885361552,0
"1","3005",3,"Import","Textiles and Leather",0.072215057319224,0
"1","3005",3,"Import","Vehicles and Transportation Equipment",0.0140149911816579,0
"1","3007",3,"Import","Agriculture and Fish",0.0071984126984127,0
"1","3007",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",8.28924162257496e-05,0
"1","3007",3,"Import","Food, Alcohol and Tobacco",2.09435626102293e-05,0
"1","3007",3,"Import","Machinery, Electric, and Precision Instruments",9.16005291005291e-05,0
"1","3007",3,"Import","Mixed Freight",3.14153439153439e-05,0
"1","3007",3,"Import","Nonmetallic Mineral and Base Metal Products",2.75573192239859e-06,0
"1","3007",3,"Import","Raw and Finished Wood Products",0.000103505291005291,0
"1","3007",3,"Import","Textiles and Leather",0.00516787918871252,0
"1","3009",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0,0.855534
"1","3009",3,"Import","Energy Products",0,168.292256
"1","3009",3,"Import","Food, Alcohol and Tobacco",0,0.341271
"1","3011",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0,0.472979
"1","3011",3,"Import","Food, Alcohol and Tobacco",0,0.590566
"1","3020",3,"Import","Aggregates",0,1.1312
"1","3020",3,"Import","Nonmetallic Mineral and Base Metal Products",0,233.337757
"1","3022",3,"Import","Nonmetallic Mineral and Base Metal Products",0.000110890652557319,0
"1","3022",3,"Import","Vehicles and Transportation Equipment",0,442.70907
"1","3024",3,"Import","Aggregates",0,10.583962
"1","3024",3,"Import","Agriculture and Fish",0,7.81879
"1","3024",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0,243.634059
"1","3024",3,"Import","Energy Products",0,17.661921
"1","3024",3,"Import","Food, Alcohol and Tobacco",0,64.116534
"1","3024",3,"Import","Machinery, Electric, and Precision Instruments",0.0919486331569665,246.102303
"1","3024",3,"Import","Mixed Freight",0.00112973985890653,25.008717
"1","3024",3,"Import","Nonmetallic Mineral and Base Metal Products",0,82.623903
"1","3024",3,"Import","Raw and Finished Wood Products",0,9.020144
"1","3024",3,"Import","Textiles and Leather",0,359.819559
"1","3024",3,"Import","Vehicles and Transportation Equipment",0,46.694524
"1","3026",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0.000500440917107584,0
"1","3026",3,"Import","Energy Products",4.40917107583774e-05,0
"1","3026",3,"Import","Machinery, Electric, and Precision Instruments",0.00467768959435626,0
"1","3026",3,"Import","Mixed Freight",0.00043694885361552,0
"1","3026",3,"Import","Nonmetallic Mineral and Base Metal Products",0.000301256613756613,0
"1","3026",3,"Import","Raw and Finished Wood Products",0.000473544973544973,0
"1","3026",3,"Import","Textiles and Leather",0.00399217372134039,0
"1","3026",3,"Import","Vehicles and Transportation Equipment",0.000199514991181658,0
"1","3032",3,"Import","Aggregates",0,4.830362
"1","3032",3,"Import","Energy Products",0,50.438464
"1","3034",3,"Import","Agriculture and Fish",0.00182220017636684,0
"1","3034",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0.00144389329805996,0
"1","3034",3,"Import","Food, Alcohol and Tobacco",0.00101851851851852,0
"1","3034",3,"Import","Machinery, Electric, and Precision Instruments",0.0206061507936508,0
"1","3034",3,"Import","Mixed Freight",0.00401554232804233,0
"1","3034",3,"Import","Nonmetallic Mineral and Base Metal Products",0.000191909171075838,0
"1","3034",3,"Import","Raw and Finished Wood Products",0.00205467372134038,0
"1","3034",3,"Import","Textiles and Leather",0.0459511684303351,0
"1","3034",3,"Import","Vehicles and Transportation Equipment",0.000327932098765432,0
"1","3042",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0.000157407407407407,0
"1","3042",3,"Import","Machinery, Electric, and Precision Instruments",0.00020271164021164,0
"1","3042",3,"Import","Mixed Freight",4.14462081128748e-05,0
"1","3042",3,"Import","Textiles and Leather",2.86596119929453e-06,0
"1","3047",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",2.20458553791887e-07,0
"1","3047",3,"Import","Machinery, Electric, and Precision Instruments",4.37610229276896e-05,0
"1","3056",3,"Import","Food, Alcohol and Tobacco",6.33818342151675e-05,0
"1","3057",3,"Import","Food, Alcohol and Tobacco",0,0.408026
"1","3057",3,"Import","Machinery, Electric, and Precision Instruments",0,6.868307
"1","3057",3,"Import","Mixed Freight",0,1.151605
"1","3057",3,"Import","Textiles and Leather",0,0.00026
"1","3057",3,"Import","Vehicles and Transportation Equipment",0,1.138975
"1","3060",3,"Import","Machinery, Electric, and Precision Instruments",7.73809523809524e-05,0
"1","3060",3,"Import","Mixed Freight",0.00393937389770723,0
"1","3060",3,"Import","Raw and Finished Wood Products",2.65652557319224e-05,0
"1","3060",3,"Import","Textiles and Leather",0.000257716049382716,0
"1","3060",3,"Import","Vehicles and Transportation Equipment",3.02028218694885e-05,0
"1","3062",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0,59.685414
"1","3062",3,"Import","Energy Products",0,0.016268
"1","3062",3,"Import","Machinery, Electric, and Precision Instruments",0,0.165819
"1","3062",3,"Import","Vehicles and Transportation Equipment",0,46.078898
"1","3066",3,"Import","Aggregates",0,21.687764
"1","3066",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0,34.368396
"1","3066",3,"Import","Energy Products",0,91.400534
"1","3066",3,"Import","Food, Alcohol and Tobacco",0,8.257901
"1","3071",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",4.46428571428571e-05,0
"1","3071",3,"Import","Machinery, Electric, and Precision Instruments",0.0016739417989418,0
"1","3071",3,"Import","Mixed Freight",4.57451499118166e-05,0
"1","3071",3,"Import","Nonmetallic Mineral and Base Metal Products",6.61375661375661e-06,0
"1","3071",3,"Import","Vehicles and Transportation Equipment",2.13844797178131e-05,0
"1","3072",3,"Import","Aggregates",0,93.145162
"1","3077",3,"Import","Aggregates",0,64.705191
"1","3077",3,"Import","Agriculture and Fish",0,35.955395
"1","3077",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0,345.802913
"1","3077",3,"Import","Energy Products",0,174.234966
"1","3077",3,"Import","Food, Alcohol and Tobacco",0,159.072564
"1","3077",3,"Import","Machinery, Electric, and Precision Instruments",0,22.543228
"1","3077",3,"Import","Mixed Freight",0,43.820529
"1","3077",3,"Import","Nonmetallic Mineral and Base Metal Products",0,355.073288
"1","3077",3,"Import","Raw and Finished Wood Products",0,7.643263
"1","3077",3,"Import","Textiles and Leather",0,255.14012
"1","3077",3,"Import","Vehicles and Transportation Equipment",0,13.953659
"1","3079",3,"Import","Agriculture and Fish",0.0206827601410934,0
"1","3079",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0.00240828924162258,0
"1","3079",3,"Import","Food, Alcohol and Tobacco",0.0020788139329806,0
"1","3079",3,"Import","Machinery, Electric, and Precision Instruments",0.00594576719576719,0
"1","3079",3,"Import","Mixed Freight",0.00432738095238095,0
"1","3079",3,"Import","Nonmetallic Mineral and Base Metal Products",0.00153869047619048,0
"1","3079",3,"Import","Raw and Finished Wood Products",0.000708112874779541,0
"1","3079",3,"Import","Textiles and Leather",0.0709336419753087,0
"1","3079",3,"Import","Vehicles and Transportation Equipment",5.51146384479718e-07,0
"1","3082",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",2.89902998236332e-05,0
"1","3082",3,"Import","Machinery, Electric, and Precision Instruments",0.00058179012345679,0
"1","3082",3,"Import","Mixed Freight",0.00262466931216931,0
"1","3083",3,"Import","Aggregates",0,1.453075
"1","3083",3,"Import","Agriculture and Fish",0,0.581144
"1","3083",3,"Import","Chemicals, Pharmaceuticals, Plastics, and Rubber",0,2.314301
"1","3083",3,"Import","Energy Products",0,4.303475
"1","3083",3,"Import","Food, Alcohol and Tobacco",0,11.709263
"1","3083",3,"Import","Machinery, Electric, and Precision Instruments",0,1.377325
"1","3083",3,"Import","Mixed Freight",0,0.169781
"1","3083",3,"Import","Nonmetallic Mineral and Base Metal Products",0,24.613299
"1","3083",3,"Import","Raw and Finished Wood Products",0,0.687928
"1","3083",3,"Import","Textiles and Leather",0,7.719463
"1","3083",3,"Import","Vehicles and Transportation Equipment",0,0.084364
"1","3086",3,"Import","Machinery, Electric, and Precision Instruments",5.33509700176367e-05,0
"1","3092",3,"Import","Aggregates",0,115.384716
"1","3095",3,"Import","Machinery, Electric, and Precision Instruments",0.000188602292768959,0
"1","3095",3,"Import","Vehicles and Transportation Equipment",0.00072200176366843,0
"1","3099",3,"Import","Food, Alcohol and Tobacco",0,0.02073
"1","3099",3,"Import","Machinery, Electric, and Precision Instruments",0.000276675485008818,0
"1","3099",3,"Import","Mixed Freight",6.8231922398589e-05,0
"1","3104",3,"Import","Machinery, Electric, and Precision Instruments",0.000242724867724868,0
